applicant_id,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Telephone,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket)
1469590,67,male,single,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,,,0
1203873,22,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,0,2 lac
1432761,49,male,single,2,own,3,unskilled - resident,4 years,7 years,,1,Low,,
1207582,45,male,single,2,for free,4,skilled employee / official,4 years,7 years,,1,Low,,0
1674436,53,male,single,2,for free,4,skilled employee / official,1 year,4 years,,1,Low,,0
1213971,35,male,single,2,for free,4,unskilled - resident,1 year,4 years,Registered under the applicant's name,1,,,
1428822,53,male,single,1,own,4,skilled employee / official,7 years,,,1,High,,
1705739,35,male,single,1,rent,2,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1715169,61,male,divorced/separated,1,own,4,unskilled - resident,4 years,7 years,,1,Very high,,
1722991,28,male,married/widowed,1,own,2,management / self-employed / highly qualified employee / officer,,0 year,,1,Low,0,2 lac
1719964,25,female,divorced/separated/married,1,rent,1,skilled employee / official,0 year,1 year,,1,Low,0,2 lac
1818043,24,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,,1,Low,,0
1231297,22,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1172292,60,male,single,1,own,4,unskilled - resident,7 years,,,1,Low,,0
1154808,28,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,,1,Low,,0
1648542,32,female,divorced/separated/married,1,own,2,unskilled - resident,1 year,4 years,,1,Medium,,0
1193245,53,male,single,1,own,4,skilled employee / official,7 years,,,1,,,
1740408,25,male,single,1,own,3,skilled employee / official,0 year,1 year,,1,,,0
1250076,44,female,divorced/separated/married,1,for free,2,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1616625,31,male,single,2,own,2,skilled employee / official,7 years,,Registered under the applicant's name,1,High,,
1428429,48,male,single,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1272219,44,male,single,2,rent,3,skilled employee / official,1 year,4 years,,1,High,,0
1771414,48,male,single,2,rent,3,unskilled - resident,0 year,1 year,,0,Low,,0
1666563,44,male,single,1,own,4,skilled employee / official,0 year,1 year,,1,Medium,0,2 lac
1847764,26,male,married/widowed,1,own,1,skilled employee / official,1 year,4 years,,0,,,
1138996,36,male,single,1,own,2,unskilled - resident,1 year,4 years,Registered under the applicant's name,1,Low,,0
1578742,39,male,married/widowed,1,own,4,unskilled - resident,7 years,,,1,Low,,
1709277,42,female,divorced/separated/married,1,rent,3,skilled employee / official,1 year,4 years,,1,Very high,2 lac,
1508823,34,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,0,2 lac
1323870,63,male,single,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,,0
1414851,36,male,married/widowed,1,own,3,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Very high,0,2 lac
1764281,27,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,0
1291798,30,male,single,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Medium,0,2 lac
1873969,57,male,single,1,rent,4,unskilled - resident,7 years,,,1,,,
1888210,33,female,divorced/separated/married,1,own,1,management / self-employed / highly qualified employee / officer,0 year,1 year,Registered under the applicant's name,1,Low,2 lac,
1547494,25,male,single,1,own,2,unskilled - resident,0 year,1 year,,1,Low,0,2 lac
1674114,31,male,single,1,for free,3,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1330233,37,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,2 lac,
1443666,37,male,single,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,2 lac,
