applicant_id,Primary_applicant_age_in_years,gender_ord,Marital_status_ord,Number_of_dependents,Housing_ord,Years_at_current_residence,Employment_status_ord,Has_been_employed_for_at_least_ord,Has_been_employed_for_at_most_ord,Telephone_ord,Foreign_worker,Savings_account_balance_ord,Balance_in_existing_bank_account_lower_limit_of_bucket_ord,Balance_in_existing_bank_account_upper_limit_of_bucket_ord,loan_application_id,Months_loan_taken_for,Purpose_ord,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property_ord,Has_coapplicant,Has_guarantor,Other_EMI_plans_ord,Number_of_existing_loans_at_this_bank,Loan_history_ord,high_risk_applicant
1469590,67,1,1,1,1,4,1,7.0,,1.0,1,,,0.0,d68d975e-edad-11ea-8761-1d6f9c1ff461,6,1.0,1169000,4,2.0,0,0,,2,2,0
1203873,22,2,2,1,1,2,1,1.0,4.0,,1,1.0,0.0,2.0,d68d989e-edad-11ea-b1d5-2bcf65006448,48,1.0,5951000,2,2.0,0,0,,1,1,1
1432761,49,1,1,2,1,3,2,4.0,7.0,,1,1.0,,,d68d995c-edad-11ea-814a-1b6716782575,12,6.0,2096000,2,2.0,0,0,,1,2,0
1207582,45,1,1,2,3,4,1,4.0,7.0,,1,1.0,,0.0,d68d99fc-edad-11ea-8841-17e8848060ae,42,3.0,7882000,2,3.0,0,1,,1,1,0
1674436,53,1,1,2,3,4,1,1.0,4.0,,1,1.0,,0.0,d68d9a92-edad-11ea-9f3d-1f8682db006a,24,2.0,4870000,3,,0,0,,2,3,1
1213971,35,1,1,2,3,4,2,1.0,4.0,1.0,1,,,,d68d9b1e-edad-11ea-8b43-2b6a0308d487,36,6.0,9055000,2,,0,0,,1,1,0
1428822,53,1,1,1,1,4,1,7.0,,,1,3.0,,,d68d9bb4-edad-11ea-bb16-0490ef14f12e,24,3.0,2835000,3,3.0,0,0,,1,1,0
1705739,35,1,1,1,2,2,3,1.0,4.0,1.0,1,1.0,0.0,2.0,d68d9c40-edad-11ea-b46c-5067ccf3672a,36,4.0,6948000,2,1.0,0,0,,1,1,0
1715169,61,1,4,1,1,4,2,4.0,7.0,,1,4.0,,,d68d9cc2-edad-11ea-95a3-19eea692401f,12,1.0,3059000,2,2.0,0,0,,1,1,0
1722991,28,1,3,1,1,2,3,,0.0,,1,1.0,0.0,2.0,d68d9d4e-edad-11ea-99f2-2c0022cf7ade,30,2.0,5234000,4,1.0,0,0,,2,2,1
1719964,25,2,2,1,2,1,1,0.0,1.0,,1,1.0,0.0,2.0,d68d9dda-edad-11ea-8f66-070acf87953f,12,2.0,1295000,3,1.0,0,0,,1,1,1
1818043,24,2,2,1,2,4,1,0.0,1.0,,1,1.0,,0.0,d68d9e66-edad-11ea-a00e-08a9b825002d,48,5.0,4308000,3,3.0,0,0,,1,1,1
1231297,22,2,2,1,1,1,1,1.0,4.0,1.0,1,1.0,0.0,2.0,d68d9ef2-edad-11ea-9320-44cc6aafa0f2,12,1.0,1567000,1,1.0,0,0,,1,1,0
1172292,60,1,1,1,1,4,2,7.0,,,1,1.0,,0.0,d68d9f74-edad-11ea-bd59-102afb4e8303,24,2.0,1199000,4,1.0,0,0,,2,2,1
1154808,28,2,2,1,2,4,1,1.0,4.0,,1,1.0,,0.0,d68da000-edad-11ea-9b39-3b57807cea95,15,2.0,1403000,2,1.0,0,0,,1,1,0
1648542,32,2,2,1,1,2,2,1.0,4.0,,1,2.0,,0.0,d68da08c-edad-11ea-86fa-3b9bbe2e06a1,24,1.0,1282000,4,1.0,0,0,,1,1,1
1193245,53,1,1,1,1,4,1,7.0,,,1,,,,d68da118-edad-11ea-9b17-1a2408e72e3d,24,1.0,2424000,4,3.0,0,0,,2,2,0
1740408,25,1,1,1,1,3,1,0.0,1.0,,1,,,0.0,d68da19a-edad-11ea-82a9-2ffed2c1ae59,30,5.0,8072000,2,1.0,0,0,1.0,3,6,0
1250076,44,2,2,1,3,2,3,7.0,,1.0,1,1.0,0.0,2.0,d68da226-edad-11ea-ba6a-24e82f4a0901,24,4.0,12579000,4,,0,0,,1,1,1
1616625,31,1,1,2,1,2,1,7.0,,1.0,1,3.0,,,d68da2b2-edad-11ea-8889-45124b410d16,24,1.0,3430000,3,1.0,0,0,,1,1,0
1428429,48,1,1,1,1,4,1,1.0,4.0,1.0,1,1.0,,,d68da33e-edad-11ea-92d6-14d5f1dd4287,9,2.0,2134000,4,1.0,0,0,,3,2,0
1272219,44,1,1,2,2,3,1,1.0,4.0,,1,3.0,,0.0,d68da3c0-edad-11ea-9c13-02e697b7fb47,6,1.0,2647000,2,2.0,0,0,,1,1,0
1771414,48,1,1,2,2,3,2,0.0,1.0,,0,1.0,,0.0,d68da44c-edad-11ea-811d-450f33c8849a,10,2.0,2241000,1,2.0,0,0,,2,2,0
1666563,44,1,1,1,1,4,1,0.0,1.0,,1,2.0,0.0,2.0,d68da4d8-edad-11ea-94e4-4ae3123f6e41,12,4.0,1804000,3,3.0,0,0,,1,2,0
1847764,26,1,3,1,1,1,1,1.0,4.0,,0,,,,d68da55a-edad-11ea-9086-556c75abdef8,10,3.0,2069000,2,1.0,0,0,,2,2,0
1138996,36,1,1,1,1,2,2,1.0,4.0,1.0,1,1.0,,0.0,d68da5e6-edad-11ea-8848-094539bb32c1,6,3.0,1374000,1,2.0,0,0,1.0,1,1,0
1578742,39,1,3,1,1,4,2,7.0,,,1,1.0,,,d68da668-edad-11ea-a7ca-0e54ef05530b,6,1.0,426000,4,1.0,0,0,,1,6,0
1709277,42,2,2,1,2,3,1,1.0,4.0,,1,4.0,2.0,,d68da6f4-edad-11ea-8727-0a9a99b06aa8,12,1.0,409000,3,2.0,0,0,,2,5,0
1508823,34,1,1,1,1,2,1,1.0,4.0,,1,1.0,0.0,2.0,d68da780-edad-11ea-ae82-22389d1f21e1,7,1.0,2415000,3,2.0,0,1,,1,1,0
1323870,63,1,1,1,1,4,1,7.0,,1.0,1,1.0,,0.0,d68da802-edad-11ea-8fb1-430f7bd15180,60,5.0,6836000,3,,0,0,,2,3,1
1414851,36,1,3,1,1,3,1,0.0,1.0,1.0,1,4.0,0.0,2.0,d68da88e-edad-11ea-911c-45363b9e71a7,18,5.0,1913000,3,2.0,0,0,1.0,1,1,0
1764281,27,1,1,1,1,2,1,1.0,4.0,,1,1.0,,0.0,d68da91a-edad-11ea-806b-1b4fff89cf12,24,3.0,4020000,2,1.0,0,0,2.0,1,1,0
1291798,30,1,1,1,1,2,1,1.0,4.0,1.0,1,2.0,0.0,2.0,d68da9a6-edad-11ea-ad7d-22ccbf1337b7,18,2.0,5866000,2,1.0,0,0,,2,1,0
1873969,57,1,1,1,2,4,2,7.0,,,1,,,,d68daa28-edad-11ea-b015-2fab913db9fd,12,5.0,1264000,4,,0,0,,1,2,0
1888210,33,2,2,1,1,1,3,0.0,1.0,1.0,1,1.0,2.0,,d68daab4-edad-11ea-90d0-54e9c6dd56d7,12,3.0,1474000,4,3.0,0,0,1.0,1,1,0
1547494,25,1,1,1,1,2,2,0.0,1.0,,1,1.0,0.0,2.0,d68dab40-edad-11ea-9d66-1d40dd84d34f,45,1.0,4746000,4,3.0,0,0,,2,2,1
1674114,31,1,1,1,3,3,1,1.0,4.0,1.0,1,1.0,,,d68dabcc-edad-11ea-acee-2f4a3741fda0,48,6.0,6110000,1,,0,0,1.0,1,2,0
1330233,37,1,1,1,1,2,1,1.0,4.0,,1,1.0,2.0,,d68dac58-edad-11ea-b429-50d02dad5c98,18,1.0,2100000,4,2.0,1,0,2.0,1,1,1
1443666,37,1,1,1,1,2,1,1.0,4.0,1.0,1,1.0,2.0,,d68dace4-edad-11ea-abc1-47fea893dfc1,10,8.0,1225000,2,1.0,0,0,,1,1,0
1574283,24,1,1,1,1,3,1,1.0,4.0,,1,1.0,0.0,2.0,d68dad66-edad-11ea-8dab-1e18a4ca4033,9,1.0,458000,4,2.0,0,0,,1,1,0
1866940,30,1,1,1,1,2,3,7.0,,,1,3.0,,,d68dadf2-edad-11ea-9f2f-1b809b7f2469,30,1.0,2333000,4,1.0,0,0,1.0,1,1,0
1188917,26,1,4,1,1,1,1,1.0,4.0,1.0,1,3.0,0.0,2.0,d68dae74-edad-11ea-9dc4-548e2abf51a3,12,1.0,1158000,3,1.0,0,0,,1,1,0
1491485,44,1,1,2,1,4,2,1.0,4.0,1.0,1,1.0,0.0,2.0,d68daf00-edad-11ea-b3c5-3a9c59258abf,18,7.0,6204000,2,2.0,0,0,,1,3,0
1381317,24,1,3,1,2,4,1,4.0,7.0,,1,2.0,,0.0,d68daf8c-edad-11ea-9727-31a09ae7367c,30,4.0,6187000,1,1.0,0,0,,2,2,0
1246402,58,2,2,1,3,4,2,7.0,,,1,1.0,,0.0,d68db00e-edad-11ea-86d2-0e15c47e1391,48,4.0,6143000,4,,0,0,2.0,2,2,1
1641291,35,2,2,1,1,4,3,0.0,1.0,,1,1.0,,,d68db09a-edad-11ea-a4a6-033044c9ec7b,11,2.0,1393000,4,1.0,0,0,,2,2,0
1716706,39,1,1,1,1,4,1,7.0,,,1,3.0,,,d68db126-edad-11ea-bfe0-17fd1764daff,36,1.0,2299000,4,1.0,0,0,,1,1,0
1395153,23,2,2,1,2,2,4,,0.0,1.0,1,3.0,,0.0,d68db1b2-edad-11ea-a3cf-58ed274b7f95,6,4.0,1352000,1,3.0,0,0,,1,1,0
1697859,39,1,1,1,1,4,2,1.0,4.0,,1,1.0,,,d68db234-edad-11ea-bfd7-0ee1e3d95b7b,11,2.0,7228000,1,3.0,0,0,,2,2,0
1193227,28,2,2,1,1,2,1,1.0,4.0,,1,2.0,,,d68db2c0-edad-11ea-b4e4-05b1f0a92868,12,1.0,2073000,4,2.0,1,0,,1,1,0
1850736,29,1,1,1,1,2,2,0.0,1.0,,1,,0.0,2.0,d68db34c-edad-11ea-b740-210ea10c8712,24,3.0,2333000,4,3.0,0,0,1.0,1,3,0
1771270,30,1,1,1,1,2,3,7.0,,1.0,1,1.0,0.0,2.0,d68db3ce-edad-11ea-84bd-4e67b5f9936f,27,4.0,5965000,1,1.0,0,0,,2,3,0
1840431,25,1,1,1,1,2,1,1.0,4.0,,1,1.0,,,d68db45a-edad-11ea-b49c-1d832f4dbd57,12,1.0,1262000,3,1.0,0,0,,1,1,0
