loan_application_id,applicant_id,Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Other_EMI_plans,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
d68d975e-edad-11ea-8761-1d6f9c1ff461,1469590,6,electronic equipment,1169000,4,real estate,0,0,,2,critical/pending loans at other banks,0
d68d989e-edad-11ea-b1d5-2bcf65006448,1203873,48,electronic equipment,5951000,2,real estate,0,0,,1,existing loans paid back duly till now,1
d68d995c-edad-11ea-814a-1b6716782575,1432761,12,education,2096000,2,real estate,0,0,,1,critical/pending loans at other banks,0
d68d99fc-edad-11ea-8841-17e8848060ae,1207582,42,FF&E,7882000,2,building society savings agreement/life insurance,0,1,,1,existing loans paid back duly till now,0
d68d9a92-edad-11ea-9f3d-1f8682db006a,1674436,24,new vehicle,4870000,3,,0,0,,2,delay in paying off loans in the past,1
d68d9b1e-edad-11ea-8b43-2b6a0308d487,1213971,36,education,9055000,2,,0,0,,1,existing loans paid back duly till now,0
d68d9bb4-edad-11ea-bb16-0490ef14f12e,1428822,24,FF&E,2835000,3,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,0
d68d9c40-edad-11ea-b46c-5067ccf3672a,1705739,36,used vehicle,6948000,2,car or other,0,0,,1,existing loans paid back duly till now,0
d68d9cc2-edad-11ea-95a3-19eea692401f,1715169,12,electronic equipment,3059000,2,real estate,0,0,,1,existing loans paid back duly till now,0
d68d9d4e-edad-11ea-99f2-2c0022cf7ade,1722991,30,new vehicle,5234000,4,car or other,0,0,,2,critical/pending loans at other banks,1
d68d9dda-edad-11ea-8f66-070acf87953f,1719964,12,new vehicle,1295000,3,car or other,0,0,,1,existing loans paid back duly till now,1
d68d9e66-edad-11ea-a00e-08a9b825002d,1818043,48,business,4308000,3,building society savings agreement/life insurance,0,0,,1,existing loans paid back duly till now,1
d68d9ef2-edad-11ea-9320-44cc6aafa0f2,1231297,12,electronic equipment,1567000,1,car or other,0,0,,1,existing loans paid back duly till now,0
d68d9f74-edad-11ea-bd59-102afb4e8303,1172292,24,new vehicle,1199000,4,car or other,0,0,,2,critical/pending loans at other banks,1
d68da000-edad-11ea-9b39-3b57807cea95,1154808,15,new vehicle,1403000,2,car or other,0,0,,1,existing loans paid back duly till now,0
d68da08c-edad-11ea-86fa-3b9bbe2e06a1,1648542,24,electronic equipment,1282000,4,car or other,0,0,,1,existing loans paid back duly till now,1
d68da118-edad-11ea-9b17-1a2408e72e3d,1193245,24,electronic equipment,2424000,4,building society savings agreement/life insurance,0,0,,2,critical/pending loans at other banks,0
d68da19a-edad-11ea-82a9-2ffed2c1ae59,1740408,30,business,8072000,2,car or other,0,0,bank,3,no loans taken/all loans paid back duly,0
d68da226-edad-11ea-ba6a-24e82f4a0901,1250076,24,used vehicle,12579000,4,,0,0,,1,existing loans paid back duly till now,1
d68da2b2-edad-11ea-8889-45124b410d16,1616625,24,electronic equipment,3430000,3,car or other,0,0,,1,existing loans paid back duly till now,0
